#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 302026:6147 | 08/30/17 06:49:09 | 37   | 30   | 0.006700606    | 0.004651888   |
| 302029:6147 | 08/30/17 07:16:38 | 98   | 92   | 0.019796769    | 0.015281544   |
| 302031:6147 | 08/30/17 08:08:29 | 814  | 814  | 0.134165173    | 0.128521640   |
| 302033:6147 | 08/30/17 13:34:23 | 43   | 41   | 0.005885179    | 0.005173654   |
| 302034:6147 | 08/30/17 13:54:42 | 20   | 12   | 0.002694972    | 0.000483548   |
| 302037:6147 | 08/30/17 14:25:38 | 3    | 2    | 0.000393025    | 0.000060437   |
| 302038:6147 | 08/30/17 14:31:57 | 1    | 1    | 0.000130110    | 0.000008983   |
| 302040:6147 | 08/30/17 14:35:43 | 174  | 168  | 0.022174291    | 0.020954841   |
| 302041:6147 | 08/30/17 15:44:00 | 72   | 65   | 0.008745696    | 0.007738133   |
| 302042:6147 | 08/30/17 16:12:11 | 523  | 516  | 0.056857266    | 0.054983585   |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 0.021191557    | 0.020761524   |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 0.114100110    | 0.111634653   |
| 302159:6155 | 09/01/17 00:37:45 | 108  | 108  | 0.016991342    | 0.016076609   |
| 302163:6156 | 09/01/17 03:33:23 | 1197 | 1189 | 0.152174709    | 0.146312058   |
| 302165:6156 | 09/01/17 11:25:29 | 85   | 80   | 0.007724232    | 0.006889986   |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 0.001543379    | 0.001518820   |
| 302225:6158 | 09/01/17 18:41:42 | 868  | 868  | 0.117430288    | 0.114788470   |
| 302228:6159 | 09/02/17 03:31:11 | 234  | 234  | 0.039717461    | 0.038240724   |
| 302229:6159 | 09/02/17 05:05:33 | 457  | 457  | 0.069211592    | 0.067570786   |
| 302240:6160 | 09/02/17 10:53:49 | 960  | 960  | 0.141917734    | 0.138868374   |
| 302262:6161 | 09/03/17 03:32:01 | 435  | 428  | 0.080030572    | 0.075969816   |
| 302263:6161 | 09/03/17 06:21:33 | 1250 | 1250 | 0.168935530    | 0.165383267   |
| 302277:6165 | 09/03/17 22:44:53 | 372  | 372  | 0.055365409    | 0.053761113   |
| 302279:6165 | 09/04/17 07:35:57 | 71   | 70   | 0.006472557    | 0.005862909   |
| 302280:6165 | 09/04/17 08:06:51 | 152  | 152  | 0.012808800    | 0.012611393   |
| 302322:6167 | 09/04/17 17:43:03 | 838  | 838  | 0.099513483    | 0.096870474   |
| 302328:6168 | 09/05/17 01:49:04 | 681  | 681  | 0.096130173    | 0.093450403   |
| 302337:6169 | 09/05/17 09:16:54 | 136  | 127  | 0.023588373    | 0.020376770   |
| 302342:6169 | 09/05/17 10:22:40 | 54   | 54   | 0.009166992    | 0.006933228   |
| 302343:6169 | 09/05/17 10:52:16 | 98   | 97   | 0.016033889    | 0.015318244   |
| 302344:6169 | 09/05/17 11:33:14 | 480  | 480  | 0.070481221    | 0.068798124   |
| 302350:6169 | 09/05/17 15:02:18 | 136  | 136  | 0.016753059    | 0.016492993   |
| 302388:6170 | 09/05/17 18:47:02 | 685  | 685  | 0.130525792    | 0.126263558   |
| 302392:6171 | 09/06/17 01:57:37 | 363  | 355  | 0.080810630    | 0.074911826   |
| 302393:6171 | 09/06/17 04:19:09 | 887  | 887  | 0.160742391    | 0.157322303   |
| 302448:6174 | 09/06/17 20:48:45 | 1898 | 1898 | 0.315621379    | 0.307866591   |
| 302472:6175 | 09/07/17 11:26:58 | 781  | 781  | 0.161048569    | 0.154748577   |
| 302473:6175 | 09/07/17 16:32:57 | 377  | 368  | 0.063483025    | 0.060432748   |
| 302474:6175 | 09/07/17 19:17:17 | 305  | 305  | 0.045529150    | 0.043413267   |
| 302475:6175 | 09/07/17 21:17:58 | 7    | 2    | 0.000992210    | 0.000099576   |
| 302476:6175 | 09/07/17 21:22:33 | 259  | 259  | 0.034366510    | 0.033417297   |
| 302479:6176 | 09/08/17 01:19:43 | 309  | 309  | 0.071561951    | 0.068380572   |
| 302484:6177 | 09/08/17 06:07:18 | 169  | 169  | 0.038848834    | 0.036414086   |
| 302485:6177 | 09/08/17 07:17:25 | 922  | 922  | 0.179207049    | 0.173348266   |
| 302492:6177 | 09/08/17 13:49:02 | 49   | 44   | 0.007763388    | 0.006787591   |
| 302493:6177 | 09/08/17 14:09:59 | 7    | 2    | 0.001097136    | 0.000141710   |
| 302494:6177 | 09/08/17 14:13:24 | 618  | 618  | 0.088321294    | 0.086352322   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 18    | 47   | 19150 | 19043 | 2.974744855       | 2.862249281      |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 302509:6179 | 09/08/17 23:12:14 | 20   | 20   | 0.005151813    | 0.004987040   |
| 302513:6180 | 09/09/17 02:18:36 | 53   | 53   | 0.013229522    | 0.012202645   |
| 302522:6182 | 09/09/17 07:21:36 | 18   | 12   | 0.002987121    | 0.000508555   |
| 302523:6182 | 09/09/17 07:29:07 | 59   | 54   | 0.013791255    | 0.010748271   |
| 302525:6182 | 09/09/17 07:58:46 | 709  | 702  | 0.140978560    | 0.134813248   |
| 302526:6182 | 09/09/17 13:00:58 | 582  | 582  | 0.090482648    | 0.088305524   |
| 302548:6185 | 09/10/17 01:59:07 | 85   | 81   | 0.018485278    | 0.015739562   |
| 302551:6185 | 09/10/17 02:41:42 | 7    | 6    | 0.001535251    | 0.000103949   |
| 302553:6185 | 09/10/17 02:50:55 | 188  | 187  | 0.039058429    | 0.037036843   |
| 302554:6185 | 09/10/17 04:05:18 | 7    | 3    | 0.001388155    | 0.000091438   |
| 302555:6185 | 09/10/17 04:09:27 | 11   | 11   | 0.002176059    | 0.001909607   |
| 302563:6186 | 09/10/17 07:12:18 | 7    | 7    | 0.001439095    | 0.000320075   |
| 302565:6186 | 09/10/17 07:21:03 | 7    | 3    | 0.001624172    | 0.000149416   |
| 302572:6186 | 09/10/17 08:51:54 | 286  | 281  | 0.056715765    | 0.053765298   |
| 302573:6186 | 09/10/17 10:44:44 | 1249 | 1249 | 0.192171178    | 0.187919165   |
| 302596:6189 | 09/11/17 03:28:46 | 926  | 920  | 0.180017073    | 0.173172028   |
| 302597:6189 | 09/11/17 09:35:10 | 1054 | 1054 | 0.148097116    | 0.145123420   |
| 302634:6191 | 09/12/17 01:21:56 | 582  | 582  | 0.122604174    | 0.116389673   |
| 302635:6191 | 09/12/17 05:18:01 | 1252 | 1252 | 0.189629660    | 0.184469238   |
| 302651:6192 | 09/12/17 16:37:00 | 149  | 146  | 0.033940068    | 0.030035338   |
| 302654:6192 | 09/12/17 17:38:00 | 317  | 317  | 0.065600498    | 0.063967438   |
| 302661:6193 | 09/12/17 22:27:07 | 72   | 67   | 0.015303013    | 0.009465408   |
| 302663:6193 | 09/12/17 23:00:30 | 706  | 706  | 0.137829628    | 0.134253685   |
| 303825:6239 | 09/24/17 07:38:22 | 180  | 180  | 0.023267728    | 0.022834484   |
| 303832:6240 | 09/24/17 11:12:03 | 1857 | 1857 | 0.330988230    | 0.321325968   |
| 303838:6241 | 09/25/17 01:48:14 | 1963 | 1963 | 0.392733747    | 0.380035365   |
| 303885:6243 | 09/25/17 19:09:18 | 1993 | 1993 | 0.415750493    | 0.400159045   |
| 303948:6245 | 09/26/17 12:47:20 | 1624 | 1624 | 0.366223327    | 0.351609948   |
| 303998:6247 | 09/27/17 07:04:50 | 262  | 262  | 0.079268301    | 0.073026071   |
| 303999:6247 | 09/27/17 08:51:42 | 751  | 747  | 0.180569308    | 0.172738813   |
| 304000:6247 | 09/27/17 13:43:21 | 56   | 56   | 0.010854211    | 0.010644324   |
| 304062:6252 | 09/27/17 20:37:25 | 1961 | 1961 | 0.394968863    | 0.382104603   |
| 304119:6253 | 09/28/17 12:28:48 | 76   | 72   | 0.024497129    | 0.020997149   |
| 304120:6253 | 09/28/17 13:00:38 | 253  | 252  | 0.077818055    | 0.072288318   |
| 304125:6253 | 09/28/17 14:40:12 | 1769 | 1769 | 0.347273370    | 0.338100566   |
| 304144:6255 | 09/29/17 05:27:56 | 2580 | 2580 | 0.556715891    | 0.533880991   |
| 304158:6258 | 09/30/17 06:34:02 | 1922 | 1922 | 0.383216886    | 0.370884680   |
| 304169:6259 | 09/30/17 22:12:01 | 1668 | 1666 | 0.350211577    | 0.338518799   |
| 304170:6259 | 10/01/17 09:08:28 | 620  | 620  | 0.077076858    | 0.075626313   |
| 304199:6261 | 10/01/17 18:52:32 | 9    | 5    | 0.002833423    | 0.000059034   |
| 304200:6261 | 10/01/17 18:55:56 | 321  | 321  | 0.092919221    | 0.088141923   |
| 304204:6262 | 10/01/17 23:41:28 | 553  | 553  | 0.162979487    | 0.153181548   |
| 304209:6263 | 10/02/17 05:33:50 | 405  | 405  | 0.126121024    | 0.116173536   |
| 304291:6266 | 10/02/17 17:40:12 | 30   | 22   | 0.008571483    | 0.003372765   |
| 304292:6266 | 10/02/17 17:51:42 | 1753 | 1753 | 0.367803706    | 0.347239887   |
| 304333:6268 | 10/03/17 11:50:16 | 1580 | 1580 | 0.382161342    | 0.366646071   |
| 304354:6269 | 10/04/17 03:17:59 | 214  | 214  | 0.072347948    | 0.068254535   |
| 304366:6271 | 10/04/17 09:20:21 | 1819 | 1819 | 0.435690667    | 0.419018022   |
| 304446:6272 | 10/05/17 00:46:48 | 55   | 55   | 0.019514966    | 0.016790734   |
| 304447:6272 | 10/05/17 01:17:36 | 1639 | 1639 | 0.386189265    | 0.368514943   |
| 304451:6272 | 10/05/17 12:15:05 | 60   | 54   | 0.008736541    | 0.007415690   |
| 304505:6275 | 10/05/17 18:53:15 | 27   | 26   | 0.009511604    | 0.007711608   |
| 304506:6275 | 10/05/17 19:04:50 | 370  | 370  | 0.124625294    | 0.119535842   |
| 304507:6275 | 10/05/17 21:32:15 | 239  | 235  | 0.070334560    | 0.050591787   |
| 304508:6275 | 10/05/17 23:07:03 | 1324 | 1324 | 0.254739967    | 0.248024590   |
| 304562:6276 | 10/06/17 12:30:33 | 794  | 794  | 0.235445282    | 0.221933738   |
| 304616:6278 | 10/06/17 22:15:30 | 942  | 942  | 0.267760823    | 0.253368597   |
| 304625:6279 | 10/07/17 07:35:53 | 464  | 462  | 0.155528888    | 0.136309938   |
| 304626:6279 | 10/07/17 10:38:44 | 8    | 8    | 0.002531789    | 0.002315882   |
| 304654:6283 | 10/08/17 01:25:39 | 652  | 645  | 0.207534379    | 0.173597580   |
| 304655:6283 | 10/08/17 05:39:51 | 1194 | 1194 | 0.238836044    | 0.229947014   |
| 304661:6284 | 10/08/17 15:49:49 | 145  | 142  | 0.050076025    | 0.046163719   |
| 304662:6284 | 10/08/17 17:02:49 | 150  | 147  | 0.048247116    | 0.043509010   |
| 304663:6284 | 10/08/17 18:03:25 | 689  | 689  | 0.185544278    | 0.177083905   |
