#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+-----+------+----------------+---------------+
| run:fill    | time              | nls | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+-----+------+----------------+---------------+
| 302026:6147 | 08/30/17 06:49:55 | 28  | 28   | 0.004792767    | 0.004651888   |
| 302029:6147 | 08/30/17 07:16:38 | 79  | 79   | 0.016025901    | 0.015281544   |
+-------------+-------------------+-----+------+----------------+---------------+
#Summary: 
+-------+------+-----+------+-------------------+------------------+
| nfill | nrun | nls | ncms | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-----+------+-------------------+------------------+
| 1     | 2    | 107 | 107  | 0.020818668       | 0.019933432      |
+-------+------+-----+------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 302031:6147 | 08/30/17 08:08:29 | 804  | 804  | 0.132595968    | 0.128521640   |
| 302033:6147 | 08/30/17 13:34:23 | 39   | 39   | 0.005342564    | 0.005173654   |
| 302034:6147 | 08/30/17 13:54:42 | 4    | 4    | 0.000540421    | 0.000483548   |
| 302037:6147 | 08/30/17 14:25:38 | 1    | 1    | 0.000131072    | 0.000060437   |
| 302038:6147 | 08/30/17 14:31:57 | 1    | 1    | 0.000130110    | 0.000008983   |
| 302040:6147 | 08/30/17 14:35:43 | 168  | 168  | 0.021432399    | 0.020954841   |
| 302041:6147 | 08/30/17 15:44:00 | 65   | 65   | 0.007907780    | 0.007738133   |
| 302042:6147 | 08/30/17 16:12:11 | 514  | 514  | 0.055967886    | 0.054983585   |
| 302043:6147 | 08/30/17 19:35:17 | 228  | 228  | 0.021191557    | 0.020761524   |
| 302131:6152 | 08/31/17 12:32:49 | 873  | 873  | 0.114100110    | 0.111634653   |
| 302159:6155 | 09/01/17 00:38:55 | 105  | 105  | 0.016670119    | 0.016076609   |
| 302163:6156 | 09/01/17 03:34:09 | 1186 | 1186 | 0.151179941    | 0.146312058   |
| 302165:6156 | 09/01/17 11:25:29 | 79   | 79   | 0.007142442    | 0.006889986   |
| 302166:6156 | 09/01/17 11:58:48 | 16   | 16   | 0.001543379    | 0.001518820   |
| 302225:6158 | 09/01/17 18:41:42 | 868  | 868  | 0.117430288    | 0.114788470   |
| 302228:6159 | 09/02/17 03:31:11 | 232  | 232  | 0.039385524    | 0.038240724   |
| 302229:6159 | 09/02/17 05:05:33 | 457  | 457  | 0.069211592    | 0.067570786   |
| 302240:6160 | 09/02/17 10:53:49 | 959  | 959  | 0.141757183    | 0.138868374   |
| 302262:6161 | 09/03/17 03:32:47 | 425  | 425  | 0.078294940    | 0.075969816   |
| 302263:6161 | 09/03/17 06:21:33 | 1249 | 1249 | 0.168826429    | 0.165275648   |
| 302277:6165 | 09/03/17 22:47:36 | 369  | 369  | 0.055101590    | 0.053761113   |
| 302279:6165 | 09/04/17 07:35:57 | 68   | 68   | 0.006199097    | 0.005862909   |
| 302280:6165 | 09/04/17 08:06:51 | 152  | 152  | 0.012808800    | 0.012611393   |
| 302322:6167 | 09/04/17 17:44:13 | 835  | 835  | 0.099084539    | 0.096870474   |
| 302328:6168 | 09/05/17 01:50:14 | 678  | 678  | 0.095626879    | 0.093450403   |
| 302337:6169 | 09/05/17 09:18:04 | 124  | 124  | 0.021445802    | 0.020376770   |
| 302342:6169 | 09/05/17 10:22:40 | 54   | 54   | 0.009166992    | 0.006933228   |
| 302343:6169 | 09/05/17 10:52:16 | 97   | 97   | 0.015871197    | 0.015318244   |
| 302344:6169 | 09/05/17 11:33:14 | 480  | 480  | 0.070481221    | 0.068798124   |
| 302350:6169 | 09/05/17 15:02:18 | 136  | 136  | 0.016753059    | 0.016492993   |
| 302388:6170 | 09/05/17 18:47:49 | 680  | 680  | 0.129499282    | 0.126263558   |
| 302392:6171 | 09/06/17 01:58:24 | 346  | 346  | 0.077100127    | 0.074911826   |
| 302393:6171 | 09/06/17 04:19:09 | 887  | 887  | 0.160742391    | 0.157322303   |
| 302448:6174 | 09/06/17 20:49:55 | 1895 | 1895 | 0.314912515    | 0.307866591   |
| 302472:6175 | 09/07/17 11:28:08 | 771  | 771  | 0.159294021    | 0.154748577   |
| 302473:6175 | 09/07/17 16:32:57 | 368  | 368  | 0.062080006    | 0.060432748   |
| 302474:6175 | 09/07/17 19:17:17 | 305  | 305  | 0.045529150    | 0.043413267   |
| 302475:6175 | 09/07/17 21:17:58 | 2    | 2    | 0.000283688    | 0.000099576   |
| 302476:6175 | 09/07/17 21:22:33 | 259  | 259  | 0.034366510    | 0.033417297   |
| 302479:6176 | 09/08/17 01:20:30 | 307  | 307  | 0.071139316    | 0.068380572   |
| 302484:6177 | 09/08/17 06:07:18 | 163  | 163  | 0.037473538    | 0.036414086   |
| 302485:6177 | 09/08/17 07:17:25 | 922  | 922  | 0.179207049    | 0.173348266   |
| 302492:6177 | 09/08/17 13:49:02 | 44   | 44   | 0.006976952    | 0.006787591   |
| 302493:6177 | 09/08/17 14:09:59 | 1    | 1    | 0.000156963    | 0.000141710   |
| 302494:6177 | 09/08/17 14:13:24 | 618  | 618  | 0.088321294    | 0.086352322   |
| 302509:6179 | 09/08/17 23:12:14 | 20   | 20   | 0.005151813    | 0.004987040   |
| 302513:6180 | 09/09/17 02:19:46 | 50   | 50   | 0.012658071    | 0.012202645   |
| 302522:6182 | 09/09/17 07:22:46 | 3    | 3    | 0.000724818    | 0.000508555   |
| 302523:6182 | 09/09/17 07:29:07 | 48   | 48   | 0.011239545    | 0.010748271   |
| 302525:6182 | 09/09/17 07:58:46 | 698  | 698  | 0.139095623    | 0.134810290   |
| 302526:6182 | 09/09/17 13:00:58 | 582  | 582  | 0.090482648    | 0.088305524   |
| 302548:6185 | 09/10/17 02:00:17 | 73   | 73   | 0.016160081    | 0.015739562   |
| 302551:6185 | 09/10/17 02:41:42 | 1    | 1    | 0.000219633    | 0.000103949   |
