#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+----------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath              | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+----------------------+----------------+---------------+
| 302509:6179 | 09/08/17 23:12:14 | 20   | HLT_DiPFJetAve60_v10 | 0.000000090    | 0.000000087   |
| 302513:6180 | 09/09/17 02:18:36 | 53   | HLT_DiPFJetAve60_v10 | 0.000000230    | 0.000000212   |
| 302522:6182 | 09/09/17 07:21:36 | 12   | HLT_DiPFJetAve60_v10 | 0.000000046    | 0.000000010   |
| 302523:6182 | 09/09/17 07:29:07 | 54   | HLT_DiPFJetAve60_v10 | 0.000000251    | 0.000000213   |
| 302525:6182 | 09/09/17 07:58:46 | 702  | HLT_DiPFJetAve60_v10 | 0.000002892    | 0.000002785   |
| 302526:6182 | 09/09/17 13:00:58 | 582  | HLT_DiPFJetAve60_v10 | 0.000002516    | 0.000002455   |
| 302548:6185 | 09/10/17 01:59:07 | 81   | HLT_DiPFJetAve60_v10 | 0.000000344    | 0.000000308   |
| 302551:6185 | 09/10/17 02:41:42 | 6    | HLT_DiPFJetAve60_v10 | 0.000000183    | 0.000000014   |
| 302553:6185 | 09/10/17 02:50:55 | 187  | HLT_DiPFJetAve60_v10 | 0.000000772    | 0.000000736   |
| 302554:6185 | 09/10/17 04:05:18 | 3    | HLT_DiPFJetAve60_v10 | 0.000000083    | 0.000000013   |
| 302555:6185 | 09/10/17 04:09:27 | 11   | HLT_DiPFJetAve60_v10 | 0.000000043    | 0.000000038   |
| 302563:6186 | 09/10/17 07:12:18 | 7    | HLT_DiPFJetAve60_v10 | 0.000000026    | 0.000000006   |
| 302565:6186 | 09/10/17 07:21:03 | 3    | HLT_DiPFJetAve60_v10 | 0.000000097    | 0.000000021   |
| 302572:6186 | 09/10/17 08:51:54 | 281  | HLT_DiPFJetAve60_v10 | 0.000001108    | 0.000001068   |
| 302573:6186 | 09/10/17 10:44:44 | 1249 | HLT_DiPFJetAve60_v10 | 0.000005403    | 0.000005282   |
| 302596:6189 | 09/11/17 03:28:46 | 920  | HLT_DiPFJetAve60_v10 | 0.000004016    | 0.000003885   |
| 302597:6189 | 09/11/17 09:35:10 | 1054 | HLT_DiPFJetAve60_v10 | 0.000004533    | 0.000004442   |
| 302634:6191 | 09/12/17 01:21:56 | 582  | HLT_DiPFJetAve60_v10 | 0.000002435    | 0.000002312   |
| 302635:6191 | 09/12/17 05:18:01 | 1252 | HLT_DiPFJetAve60_v10 | 0.000005420    | 0.000005273   |
| 302651:6192 | 09/12/17 16:37:00 | 146  | HLT_DiPFJetAve60_v10 | 0.000000661    | 0.000000597   |
| 302654:6192 | 09/12/17 17:38:00 | 317  | HLT_DiPFJetAve60_v10 | 0.000001303    | 0.000001270   |
| 302661:6193 | 09/12/17 22:27:07 | 67   | HLT_DiPFJetAve60_v10 | 0.000000281    | 0.000000188   |
| 302663:6193 | 09/12/17 23:00:30 | 706  | HLT_DiPFJetAve60_v10 | 0.000003819    | 0.000003722   |
| 303825:6239 | 09/24/17 07:38:22 | 180  | HLT_DiPFJetAve60_v10 | 0.000001044    | 0.000001024   |
| 303832:6240 | 09/24/17 11:12:03 | 1857 | HLT_DiPFJetAve60_v10 | 0.000007711    | 0.000007499   |
| 303838:6241 | 09/25/17 01:48:14 | 1963 | HLT_DiPFJetAve60_v10 | 0.000008456    | 0.000008201   |
| 303885:6243 | 09/25/17 19:09:18 | 1993 | HLT_DiPFJetAve60_v10 | 0.000008350    | 0.000008059   |
| 303948:6245 | 09/26/17 12:47:20 | 1624 | HLT_DiPFJetAve60_v10 | 0.000006992    | 0.000006734   |
| 303998:6247 | 09/27/17 07:04:50 | 262  | HLT_DiPFJetAve60_v10 | 0.000001025    | 0.000000943   |
| 303999:6247 | 09/27/17 08:51:42 | 747  | HLT_DiPFJetAve60_v10 | 0.000003359    | 0.000003228   |
| 304000:6247 | 09/27/17 13:43:21 | 56   | HLT_DiPFJetAve60_v10 | 0.000000216    | 0.000000211   |
| 304062:6252 | 09/27/17 20:37:25 | 1961 | HLT_DiPFJetAve60_v10 | 0.000008710    | 0.000008427   |
| 304119:6253 | 09/28/17 12:28:48 | 72   | HLT_DiPFJetAve60_v10 | 0.000000270    | 0.000000241   |
| 304120:6253 | 09/28/17 13:00:38 | 252  | HLT_DiPFJetAve60_v10 | 0.000001020    | 0.000000947   |
| 304125:6253 | 09/28/17 14:40:12 | 1769 | HLT_DiPFJetAve60_v10 | 0.000007959    | 0.000007760   |
| 304144:6255 | 09/29/17 05:27:56 | 2580 | HLT_DiPFJetAve60_v10 | 0.000011215    | 0.000010824   |
| 304158:6258 | 09/30/17 06:34:02 | 1922 | HLT_DiPFJetAve60_v10 | 0.000009536    | 0.000009242   |
| 304169:6259 | 09/30/17 22:12:01 | 1666 | HLT_DiPFJetAve60_v10 | 0.000009155    | 0.000008877   |
| 304170:6259 | 10/01/17 09:08:28 | 620  | HLT_DiPFJetAve60_v10 | 0.000005358    | 0.000005257   |
| 304199:6261 | 10/01/17 18:52:32 | 5    | HLT_DiPFJetAve60_v10 | 0.000000020    | 0             |
